Samskrit Word	Samskrit_GenderTelugu	Telugu_Word	Telugu _Gender
sUrya		sUryudu	
newra		newramu^kannu^nAyakudu	
SaSvaw		marala^niraMwaramu	
SaTa		kuwsiwudu^mUrKudu	
Sabxa		Sabxamu	
Sabxa-Axi			
brahman		brahman^paramAwma	
SafKa		SafKamu	
Safkara		Safkarudu	
Sak1			
Sama		SAMwi^upaSamanaM	
SanEH		mellagA	
SarIra		SarIramu	
SarIra-sWa			
vAk		vAkku	
vi-mokRaNa		vaxilipettuta	
yAwrA		yAwra^wIrWayAwra	
SarIrin		SarIramu_kalaxi	
SaraNa		SaraNamu	
Sarman		brAhmaNudu^saMwoRamu	
Saswra		Sawramu^AyuXamu	
Saswra-Bqwa		SaswraXArI^XariMcuvAdu	*
pANi		ceyi^haswamu	
sampAwa		pawanaM	
SawaSaH		Sawamu^vaMx^nUru	
Sawru		Sawruvu	
Sawruvaw		Sawruvu_lAgA^Sawruvu	
Sawruwva		Sawruwvamu	
SiKaNdin		SiKaMdi^nemali	
SiKarin		SiKaramu_kalaxi^parvawamu	
SiRya		SiRyudu	
Siras		Sirassu	
Soka		Sokamu	
saMvigna		uxvegaM_ceMxinavAdu	
mAnasa		manassu^mAnasa_sarovaramu	
SrI		SrI^Esvaryamu	
SrImaw		SoBanakaramEna	
SraxXA		SraxXa	
virahiwa		lenixi	
SraxXAmaya		SraxXAmaya^SraxXa_kaligiuMduta	
SraxXAvaw		SraxXa	
SraxxaXAna		SraxXA_yukwa	
SreRTa		SreRTamu	
Sreyas		Sreyassu^SuBamu	
Sri1			
Srowra		cevi^karNamu	
Axin		BujiMcedi	
Sru1			
Sruwi		vexamu^cevi	
parAyaNa		parAyaNudu^AsakwikalavAdu	
viprawipannA		viroXamu	
SuBa		SuBamu^maMgalYamu	
aSuBa		aSuBamu	
Pala		Palamu	
pariwyAgin		pariwyajiMcinavAdu^wyAgi	
SuR1_Nic			
Suc1			
Suci		Suci^SuxXaM	
Sukla		SuxXaM^weVlupu	
kqRNa		nalupu	
SvaSura		mAmagAru	
Svan		kukka	
SvapAka		caMdAludu	
Svas1			
Svewa		Svewamu^weVlupu	
SyAla		bAvamarixi	
mUla		mUlamu	
UrXvam		mIxaunnaxi^pEki	
Urjiwa		XqDamu^balamu	
XA1			
XAman		SarIramu^nivAsa_sWAnamu	
XArwarARtra		XqwarARtruni_koduku	
XAwq		XariMcuvAdu	
XImaw		jFAnamu_kalavAdu^buxXimaMwudu	
XIra		Xirudu	
XUma		Xumamu^poga	
Xana		Xanamu	
mAna		mAna^aBimAnamu	
maxa		maxamu	
anviwa		anusariMcunaxi^kUdiyunnaxi	
XanaFjaya		XanaFjayudu	
XanurXara		XanurXarudu^vilukAdu	
Xanus		Xanussu^villu	
Xarma		Xarmamu	
aviruxXa		viruxXamu	*
kAma		kAmamu^icca	
arWa		arWamu^vaswuvu^Xanamu^prayojanamu	
saMsWApanA		saMsWApanamu^sWApanamu	
Xarman-Awman			
kRewra		kRewramu^sWalamu^paMta_Bumi^	
sammUDa		mUrKudu^mUDudu	
cewas		ciwwamu^cewanamu	
Xarmya		XarmAwmudu^puNyamu	
amqwa		amqwamu^suXa	
Xenu		Xenuvu^Avu	
XmA1			
Xq1_Nic			
XqRtakewu		XqRtakewudu	
XqRtaxyumna		XqRtaxyumnudu	
XqwarARtra		XqwarARtrudu	
Xqwi		Xeryamu^Xqwi	
gqhIwA		grahiMpabadinaxi	
uwsAha		uwsAhamu	
XruvA		niScayamu	
Xruva		niScayamu^acalamu	
XyAna		XyAnamu	
para		paramu^anyamu^iwara	
XyAyaw		XyAnamu	
XyE1			
_ca			
a-BU1_Nic			
a-Cix1			
a-Socya		xuHKimpawagina^SocanIyamu	*
a-SraxxaXAna		SraxXa_kaliginaxi	*
a-SuR1			
a-cinwya		ciMwiMpawaginaxi^ciMwanIyamu	*
a-han1			
a-hiwa		hiwamu	*
a-kIrwi		kIrwi	
a-kIrwikara		kIrwiMcuta	*
a-karman			
a-klix1			
a-kqwa		kqwa^ceyabadinaxi	
a-nASin		nASamu_ceyuvAdu	
a-niwya		niwyamu	
a-parihArya		parihariMpawaginaxi^viduvawaginaxi	
a-pra_xA2			
a-prameya		yaWArxa_jFAnamu	
a-sakwa		Asakwudu	
a-sapawna		Sawruvu	
a-saw		yaWArXamu^sawyamu	
a-svargya		svargaM_koVrakuceyu_SuBakAryamu	
a-vikArya			*
a-vinASin		vinASanamu	
a-vipaSciw		paMdiwudu^vixvAMsudu	
a-vyakwa		vyakwamu^spaRtamu	
a-vyavasAyin		prayawnamu_ceyuvAdu^vyavasAyamu_ceyuvAdu^rEwu	
a-vyayA		vyayamu^Karcu	
a-vyaya		vyayamu^Karcu	
a-xah1			
a-yuj2			
aBAva		aBAvamu^lekapovuta	
aBaya		Bayamu_lekapovuta	
aBi-asUyaka		asUya_kalavAdu	*
aBi-janavaw			*
aBi-muKa		aBimuKaM^exuruga^muKamu	*
aBi_BU1			
aBi_XA1			
aBi_arc1			
aBi_asUya		asUya	
aBi_asUya1			
aBi_han1			
aBi_jFA2			
aBi_jan2			
aBi_jan3			
aBi_nax1			
aBi_rakR1			
aBi_ram1			
aBi_sam_XA1			
aBi_vi_jval1			
aBikrama		prAraMBiMcuta	
aBimAna		aBimAnamu^prema	
aBipravqwwa		paniyaMxu_nimagnudu	
aBiwaH		eVxuta^iru_prakkala	
aByAsa		aByAsiMcuta^malYlYi_malYilYi_ceyuta	
aByAsa-yoga			
aByAsa-yoga-yuj2			
aByuwWAna		aBivqxXi^peruguta	
aGa		pApamuaparAXamu	
aGa-Ayus			
aKila		samagramu^aMwayu^saMpUrNamu	
aMSa		aMSamu	
aMSumaw		sUryudu	
aNIyas		sUkRmamu^cAlA_koMcemu	
aNu		aNuvu^koMcemu	
aRmax		manavAdu	*asmax?
aRtaXA		aRta_viXamulugA	
aS1			
aS2			
aSAnwa		aSAMwi	
aSeRa		aSeRamu^aKilamu^saMpUrNamu	
aSeRawaH		saMpUrNamunuMdi	
aSru		kannIru	
pUrNa		pUrNamu^saMpUrNamu	
Akula		kRoBa^AkulaM	
IkRaNa		cUpu^xqRti	
aSuBa		aSuBamu	
aSuci		aSuci^aSuxXamu	
vrawa		vrawamu^niyamamu^AcaraNamu	
aSva		aSvamu	
aSvawWAman		aSvawWAma	
aSvawWa		rAvi_cettu	
aSvin		aSva_pAlakudu^rOwu	
aWa		waruvAwa	
aWavA		lekuMte	
aWo		waruvAwa	
aXaH		skriMxa	
aXaHSAKa			*
aXamA		aXamurAlu	
aXarma		aXarmamu	
aBiBava		wiraskAramu^parABavamu	
aXi-BUwa		parabraHmA^brahmamu	*
aXi-xEva		aXixevawa	*
aXi-xEvawa		aXixevawa	
aXi-yajFa		muKya_yAgamu	
aXiRTAna		AkramiMcuta^sWiramuga_uMduta	
aXi_RWA1			
aXi_gam1			
aXi_i2			
aXi_sWA1			
aXikAra		aXikAramu	
aXika		aXikamu	
aXikawara		aXikamu	
aXyAwma		aXyAwma^Awma_saMbaMXamEna	
aXyAwma-cewas			
aXyAwma-niwya			
saFjFiwa		perugala	
jFAna		jFAnamu	
niwyawva		niwyamu	
vixyA		vixya	
aXyakRa		aXyakRudu^aXikAri	
acalA		acalamEnaxi^Bumi^parvawamu	
acala		acalamEnaxi^Bumi^parvawamu	
prawiRTa		gOravamu^kIrwi	
acara		sWiramu^acaramu	
acinwya		AlociMcalenixi	
rUpa		rUpamu	
acira		aciramu^cirakAlamu_kAnixi	
acyuwa		ViRNuvu^sWiramEnaxi	
afga		aMgamu	
agawa-asu			*
agni		agni	
agra		agramu^eVxuta^muKyamu^moVxatixi	
ahaH		pagalu	
Agama		Agama_Saswramu	
rAwra		rAwri	
vix		uMduta^AlociMcuta	
ahafkAra		ahaMkAramu	
vimUDa		mUrKudu	
ahafkqwa		ahaMkAramu_kalavAdu	
ahan		xinamu^sUryudu^pagalu	
ahiMsA		ahiMsa	
ahiwa		ahiwamu^hiwamu_kAnixi	
aho		aho	
ajFAna		ajFAnamu	
ajFAna-ja			
samBUwa		uwpannamEnaxi^puttinaxi	
ajFAna-sammoha		AkarRaNa	
vimohiwa		mohamulounnavAdu	
ajFa		mUrKudu^ajFAni	
aja		janmiMcanixi	
ajasram		eVllappudu^niwyaM	
akAra		akAramu^pani_ceyanivAdu	
akRara		akRaramu	
samuxBava		uxBaviMcuta^puttuta	
akRaya		kRINiMcanixi^kRayamu_lenixi	
akroXa		kroXamu_lenivAdu	
alasa		somari	
alolupwva			
alpa		alpamu^wakkuva	
buxXi		buxXi^mawi^meXassu	
meXas		meXassu	
amAniwva		vinayamu	
amBas		uxakamu^nIru^AkASamu	
amUDa		weVlivEnavAdu	
amala		SuxXamu^paviwramu	
ambu		jalamu^nIru	
vega		vegamu	
ameXya		malinamu^apaviwramu	
amiwa		apAramEna^anaMwamu^eVkkuva	
vikrama		Soryamu^parAkramamu	
amqwa		amqwamu	
upama		upAyamu^polika	
uxBava		uxBaviMcuta	
amqwawva		amqwawwvamu	
amuwra		paralokamuyaMxu	
an-aBisneha		anubaMXamu^Asakwi^icca	*
an-uxvigna		uxvegamu_kalavAdu^BayamukalavAdu	
anAmaya		Arogyamu	
anArya		xuRtudu	
juRta		saMwoRaM^yukwamu	
anAxi		anAxi^niwyamu	
maXya		maXyamu	
anwa		anwamu	
anaGa		nirxoRamu^nirmalamu	
anala		agni^jaTarAgni	
ananwA		anaMwamu	
ananwa		anaMwamu	
bAhu		Bujamu	
ananwa-rUpa			
vIrya		vIrawvaM^parAkramamu^Sakwi^vIryamu	
vijaya		vijayamu^geVlupu^vijayudu	
ananwara		anaMwaramu	
ananya		ananya^samarUpamu^aBinnamu	
BAj		pujiMcuta^BAgamu	
ananya-cewas			
ananya-manas			
ananya-yoga			
aneka		anekamu	
axBuwa		axBuwamu	
xarSana		xarSanamu	
uxara		uxaramu^poVtta	
vakwra		muKamu	
newra		newramu^kannu	
ciwwa		ciwwamu	
viBrAnwa		BrAMwi_kaliginaxi	
janman		janmamu^uwpawwi	
saMsixXa		sVaBAvikamEnaxi	
nayana		nayanamu^kannu	
aneka-varNa			
xivya		xivyamu^xivyamEna	
ABaraNa		ABaraNamu	
anekaXA		aneka_viXamuluga	
anikewa		snyAsi^nivAsa_hInudu	
anirviNNa		xuHKamu_lenivAdu^viSrAMwi_lenivAdu	
anirxeSya		anirxeSyamu^nirxeSiMcalenixi	
aniwya		aniwyamu	
aniyawa		niyamamu_lenixi	
anna		annamu^AhAramu	
anna-samBava		saMBavamu^janmamu^uwpawwi	
sanwawa		eVllappudu^niraMwaramu^niwyamu^aXikamu^viswIrNamEnaxi	
anu_SAs1			
anu_Sru1			
anu_Suc1			
anu_Xi1			
anu_cinw1			
anu_iR2			
anu_man1			
anu_raFj2			
anu_sWA1			
anu_sasj1			
anu_smq1			
anu_vqw1			
anu_xqS1			
anubanXa		anubaMXamu^pASamu	
anukampA		karuNa^xaya	
anuprapanna		anusariMcuta	*
anuwwamA		SreRTurAlu^sarvowwamurAlu	
anuwwama		SreRTudu^sarvowwamudu	
anviwa		anusariMcuta	
anwa		anwamu	
anwa-gam1			
kAla		kAlamu^samayamu	
anwa-sWa			
anwaH		anwamu^lopala^civara	
anwaH-SarIra-sWa			
anwar		maXyalo^lopala	
ArAma		wota^upavanamu^AnaMxamu	
jyowi		jyowi	
anwar-suKa			
anwarAwman		aMwarAwma^paramAwma	
anwara		aMwaramu^samIpamu^lopala^	
anwavaw		aMwamuvaleV^anwamu	
anwika		samIpamu^anwamu	
anyA		anyamu^veru^iwaramu^Binnamu	
anyAya		anyAyamu^nyAyamu_lenixi	
anya		anyamu^veru^iwaramu^Binnamu	
xevawA		xevawa	
anyaWA		vere_viXamuga	
anyawra		vere_cotu^vere_praxeSamu	
ap		jalamu	
apAna		apAna_vAyuvu	
apAwra		apAwrudu^xAnamunaku_pAwrudu_kAnivAdu	
apESuna		sawyamu^nyAya_buxXi	
apa_Af_vq2			
apa_nux1			
apahqwa		apahariMcabadinaxi	
apahqwa-jFAna			
aparA		iwaramu^waruvAwa	
aparAjiwa		ajeyudu	
apara		iwaramu^waruvAwa	
aparaspara		parasparamu_kAnixi	
samBUwa		uwpannamEnaxi^puttinaxi	
aparigraha		svIkariMcakapovuta^saMgrahaNa_icca_lekapovuta	
aparyApwa		aparyApwamu^asaMpUrNamu	
api		mariyu^iMkayu	
apiwu			*
apohana		Uha^BrAMwi^woVlagiMcuta	
aprakASa		prakASamu_lenixi^prakatiMpabadanixi	
apravqwwi		pravqwwi_lenixi^nivqwwi	
aprawiRTa		aprawiRTa	
aprawima		asamAnudu	
praBAva		praBAvamu^kAMwi^sAmarWyamu	
apunarAvqwwi		maroka_janma_lenixi^mukwi	
arAga		rAga_rahiwa	
xveRawaH		xveRamuwo	
arWa			
arWin		Xanikudu^arWiMcuvAdu^yAcakudu	
arWa-kAma			
saFcaya		samUhamu	
vyapASraya		ASrayiMcuta	
arc1			
arh1			
arisUxana		arisUxanudu^Sawqvulanu_nASamu_ceyuvAdu	
arjuna		arjunudu	
arpaNa		arpaNamu^samarpaNamu	
arpiwa		arpiwamu^arpaNamu	
aryaman		sUryudu^piwqxevawa	
as1			
as2			
asWira		sWiramu_kAnixi	
asaMSaya		saMSayamu_lenixi	
asaMyawAwman		iMxriya_nigrahamu_lenivAdu	
asakwa		Asakwi_lenivAdu	
asakwa-Awman			
asakwa-buxXi			
asakwi		Asakwi_lekuMduta	
asamarWa		asamarWawa	
asaw		nijamu_kAnixi^xuRtudu	
asawya		asawyamu	
asax			
grAha		grahiMcuta^grahiMcuvAdu	
asax-kqw			
asiwa		nalupu^nIlamu^Sani_grahamu^weVlupu_kAnixi	
parama		parama^muKya^aXika	
asmaw-para			
asmax			
ASraya		Asrayamu^nivAsamu^AXAramu	
asmax-BAva			
asmax-Bakwa			
asmax-Bakwi			
anugraha		anugrahiMcuta^xaya_cUputa	
asmax-arWa			
asmax-arpaNa			
asmax-ciwwa			
asmax-gawa			
prANa		prANamu^jIvamu^prANa_vAyuvu	
asmax-karman-kqw			
asmax-manas			
parAyaNa		parAyaNudu^Asriwudu	
asmax-para			
asmax-parama			
prasAxa		prasAxamu^anugrahamu^kqpa	
asmax-sWa			
saMsWA		saMsWa	
vyapASraya		ASrayiMcuta	
yAjin		yAgamu_ceyuvAdu	
asmax-yoga			
asmaxIya		mana	
avAcya		ceVdu_mAta	
vAxa		vAxana^carcA^mAtalAduta	
avaSa		vaSamu_kAnixi^parAXInudu^svawaMwrudu	
ava_Ap1			
ava_IkR1			
ava_SiR2			
ava_gam1			
ava_jFA1			
ava_jFA2			
ava_sWA1			
ava_sax1_Nic			
ava_swamB1			
avahAsArWa		cirunavvu_koVraku	
avani		avani^Bumi^pqWivi	
pAla		pAlana^pAlakudu	
safGa		safGamu^samUhamu	
avara		pascima^nIcamEnaxi	
avyakwA		vyakwamu_kAnixi	
avyakwa		vyakwamu_kAnixi	
avyakwa-Asakwa-cewas			
Axin		Axi^moxalu	
mUrwi		mUrwi^prawima	
niXana		niXi^Asrayamu	
saFjFaka		peru	*
avyaya		avyayamu	
avyaya-Awman			
awIva		awIva^cAlA^aXikamu	
awaH		aMxuvalla^AkAraNaMgA	
awanxriwa		jAgrawa_kalavAdu	
awapaska		wapassu_vismariMcuvAdu	
awi-aSnaw			*
axBuwa		axBuwamu	
awi-inxriya			
awi-nIca			
svapna		svapnamu	
Sila		Sila^svaBAvamu	
awi_i1			
awi_ric1			
awi_uw_Sri1			
awi_vqw1			
awi_wQ1			
awra		ikkada	
awyanwa		awyanwamu	
awyarWa		awyaXikamu^awyanwamu	
axBuwa			
axamBiwva		kapatamu_lekapovuta	
axas		aMxuvalla^axi^ixi	
axqRta-pUrva			
axya		ivAlYa	
ayajFa		yajFamu_kAnixi	
ayana		ayanamu^gamanamu^mArgamu	
ayawi		yawi_kAnivAdu	
ayogawaH		veru_ceyuta^ayogyawa	
bAhya		bAhyamu^veVlupala	
sparSa		sparSa	
bAla		bAla^bAludu	
bIja		bIjamu	
praxa		xAwa	
bahiH		bayata^bAhyamu	
bahu		bahu^aXikamu	
SAKA			
uru			*
pAxa		pAxamu	
mawa		mawamu	
uxara			
bahu-vakwra-newra			
xaMRtrA		kora_palYlYu	
karAla		BayAnakamu^BayaMkara^viswqwa	
bahuXA		bahu_viXamuluga	
bahula		bahulamu	
AyAsa		prayAsa^prayawnamu^Srama	
bahuviXa		bahuviXamuluga	
bala		balamu	
balavaw		balamuwo	
banX1			
banXa		baMXamu^baMXanamu	
banXu		baMXuvu	
bawa		Sokamu^xuHKamu^Ascaryamu	
baxXa		baxXudu^kattabadinaxi	
bqhaw		goppaxi^pexxaxi	
pawi		pawi^Barwa	
sAman		mqxuwvaM^sAmavexaM	
brAhmI		sarasvawi^vAkku	
brAhmaNa		brAhmaNudu	
kRawriya		kRawriyudu	
viS		vESyudu	
brU1			
brahma-BUwa			
brahma-BUya			
brahma-agni			
nirvANa		nirvANamu^mukwi^mokRamu	
vAxin			
brahmacArin		brahmacAri	
vrawa		vrawamu^niyamamu	
brahmacarya		brahmacaryamu	
brahman		brahmamu	
brahman-BUwa			
brahman-BUya			
brahman-agni			
brahman-karman			
samAXi		samAXi^manolayamu	
brahman-nirvANa			
sUwra		sUwramu	
paxa		paxamu^Bagamu	
saMsparSa		sparSa	
brahman-uxBava			
brahman-vix			
brahman-yoga-yukwa-Awman			
buX2			
buX2_Nic			
buXa		buXudu^paMdiwudu	
buxXi			
Bexa		Bexamu	
buxXi-grAhya			
buxXi-nASa			
buxXi-saMyoga			
buxXi-yoga			
buxXi-yukwa			
buxXimaw			
cAnxramasa		cAMxramAsa^caMxruniwo_lekkiMcu_mAsamu	
cApa		Xanussu	
cAwurvarNya		cawurvarNamulu^brAhmaNaxulu	
cEla		vaswramu	
ajina		carmamu	
kuSa		kuSa^xarBamu	
uwwara		uwwaramu^uwwarapu_xikku	
cUrNiwa		cUrNamu^podi	*
ca		marayu	
ca/ca			
caFcala		caFcalamu	
caFcalawva		caFcalawvamu	
cakRus		cakRuvu^kannu^newramu	
cakra		cakramu	
haswa		haswamu	
cakrin		cakri^cakramu_XariMcuvAdu^viRNuvu^kummari	
cal1			
cala		cala^kaxaluta	
caliwa		caliwamu^kaxalika	
camU		sena	
canxramas		caMxrudu	
car1			
carAcara		carAcara	
cara		caramu^kaxulunaxi^wirugunaxi	
cawur		cAwuryamu^nAlugu	
cawur		cAwuryamu^nAlugu	
cawur-viXa		nAlugu_viXamuluga	
ceRt1			
ceRtA		ceRta	
cekiwAna		cAndramAsa	
cew		atula_ayinaco	
cewanA		cewanamu	
cewas		ciwwamu^manassu	
ci1			
cikIrRu		ceya_icca_kalavAdu	
cinw1			
cinwA		ciMwa^walapu^xigulu^Alocana	
ciwraraWa		sUryudu	
ciwwa		ciwwamu	
cyu1			
eXas		iMXanamu^samiXa	
ekA			
ekAgra		ekAgrawa	
ekAkin		ekAki	
ekAnwa		ekAMwamu	
ekAnwika			
eka		oVkati	
eka-Bakwi			
aMSa		aMSamu	
akRara		akRaramu	
eka-sWa			
ekawva		aBexamu^oVkatigA_uMduta	
eva		itulane^I_viXamugane	
evam		ixi_mAwrameV	
evam-rUpa			
evam-viXa			
ewAvaw			*
ewax		ixi	
ewax-yonin			
gANdIva		gANdIvamu	
gAwra		avayavamu^SarIramu	
gAyawrI		gAyawri	
gE1			
gQ2			
gahanA		xattamEna^guha^kaRtamu	
gajenxra		gajeMxrudu	
gam1			
ganXa		ganXamu^vAsana	
ganXarva		ganXarvudu	
yakRa		yakRudu	
asura		asurudu^rAkRasudu	
sixXa		sixXi_kalavAdu^sixXiMcinaxi	
garBa		garBamu	
garIyas		GanamEnaxi	
gawa		gawa^gawiMcinaxi	
Agawa		poMxabadinaxi	
asu		prANamu	
rasa		rasa	
safga		safgamu^melanamu	
sanxeha		saMxehamu	
vyaWa		vyaWa^bAXa^kleSamu	
gawi		gawi^calanamu^poka	
gaxin		gaxAXAri	
geha		gqhamu^illu^SarIramu	
gir			*
glAni		alasata	
go		Avu	
govinxa		goviMxa	
grah1			
gras1			
grasiRNu		winuvAdu^mriMguvAdu	
guNa		guNamu	
guNa-Bokwq			
guNa-anviwa			
